s22 X,s22 YRe,s22 YReImag
485903000,0.6875629134877914,-0.4122312235274711
490902000,0.6829653399390065,-0.4134745683555445
495901000,0.67837604553848,-0.4146603117220691
500900000,0.6737957780266211,-0.415789030383561
505899000,0.6692252664790688,-0.416861308181606
510898000,0.6646652214122393,-0.4178777355284289
515897000,0.6601163349008163,-0.4188389089040904
520896000,0.6555792807062824,-0.4197454303652909
525895000,0.6510547144162391,-0.4205979070660579
530894000,0.6465432735937702,-0.4213969507903065
535893000,0.6420455779362022,-0.4221431774963011
540892000,0.6375622294430208,-0.4228372068732217
545891000,0.6330938125919767,-0.4234796619096249
550890000,0.628640894523405,-0.4240711684741186
555889000,0.6242040252313827,-0.4246123549077412
560888000,0.6197837377624076,-0.4251038516286995
565887000,0.6153805484200194,-0.4255462907487916
570886000,0.6109949569752779,-0.4259403057016716
575885000,0.6066274468830719,-0.4262865308831479
580884000,0.6022784855030359,-0.4265856013029696
585883000,0.5979485243251599,-0.4268381522482932
590882000,0.5936379991995433,-0.4270448189586638
595881000,0.5893473305698211,-0.427206236312329
600880000,0.5850769237098472,-0.4273230385237483
605879000,0.5808271689635287,-0.427395858852326
610878000,0.5765984419869961,-0.4274253293219295
615877000,0.5723911039930898,-0.427412080451249
620876000,0.5682055019976471,-0.4273567409947029
625875000,0.5640419690675942,-0.4272599376939736
630874000,0.5599008245697785,-0.4271222950394308
635873000,0.555782374421268,-0.4269444350420167
640872000,0.551686911339978,-0.4267269770147727
645871000,0.5476147150956405,-0.4264705373640288
650870000,0.5435660527610844,-0.4261757293902345
655869000,0.5395411789632607,-0.4258431630979894
660868000,0.5355403361337852,-0.4254734450150748
665867000,0.531563754758978,-0.4250671780204451
670866000,0.5276116536292683,-0.4246249611810421
675865000,0.5236842400871182,-0.4241473895967023
680864000,0.5197817102740652,-0.4236350542535888
685863000,0.5159042493763542,-0.4230885418856654
690862000,0.5120520318688448,-0.4225084348438735
695861000,0.5082252217571575,-0.4218953109729071
700860000,0.504423972818359,-0.4212497434957754
705859000,0.5006484288389002,-0.420572300904944
710858000,0.4968987238510412,-0.4198635468610453
715857000,0.4931749823668048,-0.4191240400982258
720856000,0.4894773196091537,-0.4183543343357306
725855000,0.4858058417413491,-0.4175549781965235
730854000,0.4821606460931793,-0.4167265151316078
735853000,0.4785418213845736,-0.4158694833504001
740852000,0.4749494479468785,-0.4149844157573525
745851000,0.4713835979404994,-0.414071839893402
750850000,0.4678443355703497,-0.4131322778835628
755849000,0.4643317172981676,-0.4121662463896149
760848000,0.4608457920512639,-0.4111742565672856
765847000,0.4573866014289281,-0.4101568140290822
770846000,0.4539541799053997,-0.4091144188114968
775845000,0.4505485550294457,-0.4080475653464967
780844000,0.4471697476211305,-0.406956742437783
785843000,0.4438177719651253,-0.4058424332409845
790842000,0.4404926360008774,-0.4047051152479918
795841000,0.4371943415094404,-0.4035452602750689
800840000,0.4339228842971503,-0.4023633344548311
805839000,0.4306782543757859,-0.4011597982314902
810838000,0.4274604361397765,-0.3999351063599275
815837000,0.4242694085398619,-0.3986897079077178
820836000,0.4211051452535453,-0.3974240462603759
825835000,0.4179676148520763,-0.3961385591293556
830834000,0.4148567809647958,-0.3948336785636973
835833000,0.4117726024393189,-0.3935098309632683
840832000,0.4087150334991623,-0.3921674370954622
845831000,0.4056840238978314,-0.3908069121139866
850830000,0.4026795190697521,-0.389428665580053
855829000,0.3997014602781475,-0.3880331014859983
860828000,0.3967497847595183,-0.3866206182807017
865827000,0.3938244258650874,-0.3851916088971397
870826000,0.3909253131993773,-0.3837464607822064
875825000,0.3880523727551477,-0.3822855559275273
880824000,0.3852055270459767,-0.3808092709029544
885823000,0.3823846952351926,-0.3793179768907759
890822000,0.3795897932623553,-0.3778120397221811
895821000,0.3768207339663052,-0.3762918199144403
900820000,0.3740774272058476,-0.3747576727102322
905819000,0.3713597799768911,-0.3732099481171837
910818000,0.3686676965275753,-0.3716489909498534
915817000,0.366001078469788,-0.3700751408715232
920816000,0.3633598248884562,-0.3684887324378123
925815000,0.3607438324480401,-0.3668900951411371
930814000,0.3581529954961995,-0.3652795534557396
935813000,0.3555872061649796,-0.3636574268837978
940812000,0.3530463544692948,-0.3620240300020472
945811000,0.3505303284029624,-0.3603796725092496
950810000,0.3480390140322311,-0.3587246592742742
955809000,0.3455722955867089,-0.3570592903844549
960808000,0.3431300555482886,-0.3553838611952169
965807000,0.3407121747369117,-0.3536986623787037
970806000,0.3383185323949556,-0.3520039799745341
975805000,0.3359490062686308,-0.3503000954396185
980804000,0.3336034726873538,-0.3485872856986548
985803000,0.3312818066411476,-0.3468658231953385
990802000,0.3289838818554105,-0.3451359759428514
995801000,0.3267095708639898,-0.3433980075753266
1000800000,0.3244587450800782,-0.3416521773992643
1005799000,0.322231274864808,-0.3398987404444522
1010798000,0.3200270295944301,-0.3381379475161491
1015797000,0.3178458777247704,-0.3363700452456596
1020796000,0.315687686854623,-0.33459527614266
1025795000,0.3135523237864499,-0.3328138786457485
1030794000,0.3114396545860474,-0.3310260871745831
1035793000,0.3093495446397538,-0.3292321321804939
1040792000,0.3072818587102992,-0.327432240197791
1045791000,0.3052364609908795,-0.3256266338947755
1050790000,0.3032132151575571,-0.3238155321245775
1055789000,0.3012119844198684,-0.3219991499753894
1060788000,0.2992326315700518,-0.3201776988209993
1065787000,0.2972750190306552,-0.3183513863709028
1070786000,0.2953390089005818,-0.3165204167200799
1075785000,0.2934244629997773,-0.3146849903987896
1080784000,0.2915312429120871,-0.3128453044211127
1085783000,0.2896592100273399,-0.3110015523347818
1090782000,0.2878082255814298,-0.3091539242691251
1095781000,0.2859781506954608,-0.3073026069837023
1100780000,0.2841688464133205,-0.3054477839158894
1105779000,0.2823801737382752,-0.3035896352289661
1110778000,0.2806119936677982,-0.3017283378583148
1115777000,0.2788641672279872,-0.2998640655595609
1120776000,0.2771365555057763,-0.2979969889533481
1125775000,0.2754290196810065,-0.29612727557268
1130774000,0.2737414210566331,-0.2942550899076578
1135773000,0.2720736210881607,-0.2923805934507441
1140772000,0.2704254814120035,-0.29050394474162
1145771000,0.2687968638727782,-0.2886252994114663
1150770000,0.2671876305494598,-0.286744810226446
1155769000,0.2655976437806646,-0.2848626271310497
1160768000,0.2640267661891493,-0.2829788972916128
1165767000,0.2624748607049849,-0.2810937651380362
